Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
SmolVLM,3,0.467 ± 0.031,0.4672676853133706,0.012401075485532176,0.170 ± 0.050,0.17,0.020000000000000004,0.024 ± 0.068,0.02436722436722437,0.027416853219998268,0.110 ± 0.011,0.11041666666666668,0.004350127712046071,0.032 ± 0.070,0.031765584173198955,0.02806270400832638,0.987 ± 0.037,0.9870861339307941,0.014840622105592364
InternVL2,3,0.545 ± 0.000,0.545,0.0,0.310 ± 0.000,0.31,0.0,0.654 ± 0.000,0.6539923954372623,0.0,0.113 ± 0.000,0.11291666666666668,0.0,0.758 ± 0.000,0.7578947368421053,0.0,0.181 ± 0.000,0.18095238095238095,0.0
Janus,3,0.478 ± 0.000,0.47798742138364786,6.798699777552591e-17,0.120 ± 0.000,0.12,0.0,0.144 ± 0.000,0.1443298969072165,0.0,0.092 ± 0.000,0.09166666666666667,0.0,0.104 ± 0.000,0.10389610389610389,1.6996749443881478e-17,0.915 ± 0.000,0.9146341463414634,0.0
Qwen2-VL,3,0.600 ± 0.000,0.6,0.0,0.390 ± 0.000,0.38999999999999996,6.798699777552591e-17,0.600 ± 0.000,0.6,0.0,0.113 ± 0.000,0.11291666666666668,0.0,0.368 ± 0.000,0.3684210526315789,0.0,0.429 ± 0.000,0.42857142857142855,0.0
MiniCPM,3,0.623 ± 0.000,0.6231155778894473,0.0,0.340 ± 0.000,0.34,0.0,0.699 ± 0.000,0.6987951807228917,1.3597399555105182e-16,0.089 ± 0.000,0.08874999999999998,0.0,0.611 ± 0.000,0.6105263157894737,0.0,0.163 ± 0.000,0.16346153846153846,0.0
Gemma 4,3,0.495 ± 0.012,0.49499999999999994,0.0050000000000000044,0.243 ± 0.014,0.24333333333333332,0.005773502691896263,0.111 ± 0.025,0.11142162190136107,0.009871036601675017,0.106 ± 0.004,0.10583333333333333,0.0014433756729740656,0.025 ± 0.015,0.024561403508771926,0.006077371254627641,0.940 ± 0.014,0.9396825396825396,0.00549857399228213
