Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
SmolVLM,3,0.465 ± 0.013,0.4654326684783538,0.005230865192394889,0.180 ± 0.025,0.18000000000000002,0.009999999999999995,0.018 ± 0.046,0.01846294549715625,0.01834969224868491,0.114 ± 0.020,0.1136666666666667,0.008084621890423273,0.022 ± 0.000,0.02150537634408602,4.2491873609703695e-18,0.990 ± 0.024,0.9904456654456655,0.009523956277633316
InternVL2,3,0.629 ± 0.000,0.6294416243654822,0.0,0.360 ± 0.000,0.36000000000000004,6.798699777552591e-17,0.687 ± 0.000,0.6866952789699571,1.3597399555105182e-16,0.120 ± 0.000,0.12000000000000005,0.0,0.527 ± 0.000,0.5268817204301075,0.0,0.231 ± 0.000,0.23076923076923075,3.3993498887762956e-17
Janus,3,0.472 ± 0.000,0.4716981132075471,6.798699777552591e-17,0.140 ± 0.000,0.14,0.0,0.143 ± 0.000,0.14285714285714288,0.0,0.088 ± 0.000,0.08750000000000002,0.0,0.068 ± 0.000,0.0684931506849315,0.0,0.919 ± 0.000,0.9186046511627907,0.0
Qwen2-VL,3,0.665 ± 0.000,0.665,0.0,0.400 ± 0.000,0.4000000000000001,6.798699777552591e-17,0.621 ± 0.000,0.6214689265536724,0.0,0.120 ± 0.000,0.11958333333333336,0.0,0.179 ± 0.000,0.17894736842105263,0.0,0.476 ± 0.000,0.4761904761904761,6.798699777552591e-17
MiniCPM,3,0.590 ± 0.000,0.59,0.0,0.270 ± 0.000,0.27,0.0,0.680 ± 0.000,0.6796875,0.0,0.083 ± 0.000,0.08291666666666664,0.0,0.674 ± 0.000,0.6736842105263158,0.0,0.171 ± 0.000,0.1714285714285714,3.3993498887762956e-17
