Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
Qwen2-VL (LoRA Baseline),3,0.470 ± 0.000,0.4696969696969697,0.0,0.160 ± 0.000,0.16,0.0,0.132 ± 0.000,0.1322314049586777,0.0,0.127 ± 0.000,0.12666666666666665,0.0,0.096 ± 0.000,0.09574468085106384,1.6996749443881478e-17,0.923 ± 0.000,0.923076923076923,1.3597399555105182e-16
Qwen2-VL (LoRA CLAHE),3,0.472 ± 0.000,0.4720812182741117,0.0,0.200 ± 0.000,0.20000000000000004,3.3993498887762956e-17,0.071 ± 0.000,0.07142857142857144,0.0,0.085 ± 0.000,0.0845833333333333,1.6996749443881478e-17,0.043 ± 0.000,0.04301075268817204,8.498374721940739e-18,0.962 ± 0.000,0.9615384615384616,0.0
Qwen2-VL (LoRA Contrast),3,0.500 ± 0.000,0.5,0.0,0.180 ± 0.000,0.18000000000000002,3.3993498887762956e-17,0.254 ± 0.000,0.2537313432835821,0.0,0.127 ± 0.000,0.12708333333333333,0.0,0.126 ± 0.000,0.12631578947368421,0.0,0.838 ± 0.000,0.8380952380952381,0.0
Qwen2-VL (LoRA Decomp),3,0.515 ± 0.000,0.515,0.0,0.140 ± 0.000,0.14,0.0,0.390 ± 0.000,0.3899371069182391,6.798699777552591e-17,0.125 ± 0.000,0.12541666666666668,0.0,0.242 ± 0.000,0.24210526315789474,0.0,0.705 ± 0.000,0.7047619047619048,0.0
