Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
SmolVLM,3,0.471 ± 0.009,0.4714819890699287,0.0037829247186988097,0.190 ± 0.000,0.19000000000000003,3.3993498887762956e-17,0.000 ± 0.000,0.0,0.0,0.125 ± 0.015,0.12527777777777782,0.00607152583177623,0.011 ± 0.026,0.010526315789473684,0.010526315789473684,1.000 ± 0.000,1.0,0.0
InternVL2,3,0.530 ± 0.000,0.53,0.0,0.240 ± 0.000,0.24,0.0,0.605 ± 0.000,0.6050420168067226,0.0,0.095 ± 0.000,0.09541666666666666,1.6996749443881478e-17,0.642 ± 0.000,0.6421052631578947,0.0,0.314 ± 0.000,0.3142857142857143,0.0
Janus,3,0.493 ± 0.000,0.49324324324324326,0.0,0.150 ± 0.000,0.15,0.0,0.299 ± 0.000,0.29906542056074764,0.0,0.090 ± 0.000,0.09000000000000001,1.6996749443881478e-17,0.123 ± 0.000,0.12307692307692308,0.0,0.807 ± 0.000,0.8072289156626505,1.3597399555105182e-16
Qwen2-VL,3,0.520 ± 0.000,0.52,0.0,0.230 ± 0.000,0.23,0.0,0.616 ± 0.000,0.6159999999999999,0.0,0.111 ± 0.000,0.11125000000000002,0.0,0.716 ± 0.000,0.7157894736842105,0.0,0.267 ± 0.000,0.26666666666666666,0.0
MiniCPM,3,0.625 ± 0.000,0.625,0.0,0.340 ± 0.000,0.34,0.0,0.631 ± 0.000,0.6305418719211824,0.0,0.067 ± 0.000,0.06708333333333333,0.0,0.358 ± 0.000,0.35789473684210527,0.0,0.390 ± 0.000,0.3904761904761905,0.0
Gemma 4,3,0.471 ± 0.023,0.4707956448911223,0.009425169799273693,0.200 ± 0.025,0.20000000000000004,0.009999999999999995,0.024 ± 0.069,0.02441234777683376,0.02771907223328635,0.123 ± 0.008,0.12305555555555557,0.0033678765702728148,0.025 ± 0.030,0.024561403508771933,0.01215474250925528,0.987 ± 0.037,0.9872100122100123,0.014697825971171238
