Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
SmolVLM,3,0.472 ± 0.006,0.47245393634840865,0.0025012727919988616,0.190 ± 0.000,0.19000000000000003,3.3993498887762956e-17,0.000 ± 0.000,0.0,0.0,0.113 ± 0.014,0.11291666666666668,0.005464532103585008,0.004 ± 0.015,0.0035087719298245615,0.006077371254627639,1.000 ± 0.000,1.0,0.0
InternVL2,3,0.435 ± 0.000,0.435,0.0,0.120 ± 0.000,0.12,0.0,0.489 ± 0.000,0.48868778280542985,0.0,0.103 ± 0.000,0.1029166666666667,1.6996749443881478e-17,0.653 ± 0.000,0.6526315789473685,0.0,0.486 ± 0.000,0.4857142857142857,0.0
Janus,3,0.395 ± 0.000,0.3951612903225807,6.798699777552591e-17,0.080 ± 0.000,0.08,0.0,0.272 ± 0.000,0.27184466019417475,0.0,0.090 ± 0.000,0.08958333333333333,0.0,0.222 ± 0.000,0.2222222222222222,0.0,0.823 ± 0.000,0.8227848101265823,0.0
Qwen2-VL,3,0.465 ± 0.000,0.465,0.0,0.190 ± 0.000,0.19000000000000003,3.3993498887762956e-17,0.541 ± 0.000,0.5407725321888411,0.0,0.122 ± 0.000,0.1225,0.0,0.684 ± 0.000,0.6842105263157895,0.0,0.400 ± 0.000,0.4000000000000001,6.798699777552591e-17
MiniCPM,3,0.601 ± 0.000,0.601010101010101,0.0,0.270 ± 0.000,0.27,0.0,0.633 ± 0.000,0.6325581395348837,0.0,0.105 ± 0.000,0.10500000000000002,0.0,0.463 ± 0.000,0.46315789473684205,6.798699777552591e-17,0.340 ± 0.000,0.33980582524271846,0.0
Gemma 4,3,0.478 ± 0.035,0.4781652369592068,0.013924246862385971,0.200 ± 0.043,0.20000000000000004,0.017320508075688773,0.055 ± 0.003,0.05473054982400777,0.001261891521267411,0.114 ± 0.005,0.11444444444444446,0.0020971762320196523,0.025 ± 0.067,0.02482269503546099,0.0267724625364211,0.971 ± 0.000,0.9712454212454212,0.00015861271131583068
