Model,Runs,ACCURACY,raw_accuracy_mean,raw_accuracy_std,LCR,raw_lcr_mean,raw_lcr_std,F1,raw_f1_mean,raw_f1_std,ANLS,raw_anls_mean,raw_anls_std,FPR,raw_fpr_mean,raw_fpr_std,FNR,raw_fnr_mean,raw_fnr_std
SmolVLM,3,0.499 ± 0.133,0.49885198572370365,0.053397158586486075,0.100 ± 0.066,0.09999999999999999,0.026457513110645908,0.444 ± 0.133,0.44424665739893077,0.053457172065879625,0.096 ± 0.017,0.09597222222222224,0.0066840052308422175,0.419 ± 0.102,0.4188914910226386,0.04110409410624032,0.588 ± 0.155,0.5875751053717155,0.06228858599117832
InternVL2,3,0.588 ± 0.000,0.5879396984924623,0.0,0.250 ± 0.000,0.25,0.0,0.431 ± 0.000,0.4305555555555556,0.0,0.010 ± 0.000,0.01,0.0,0.095 ± 0.000,0.09473684210526316,0.0,0.702 ± 0.000,0.701923076923077,1.3597399555105182e-16
Janus,3,0.495 ± 0.000,0.494949494949495,0.0,0.180 ± 0.000,0.18000000000000002,3.3993498887762956e-17,0.219 ± 0.000,0.21875,0.0,0.066 ± 0.000,0.06625,0.0,0.106 ± 0.000,0.10638297872340426,0.0,0.865 ± 0.000,0.8653846153846154,0.0
Qwen2-VL,3,0.520 ± 0.000,0.52,0.0,0.190 ± 0.000,0.19000000000000003,3.3993498887762956e-17,0.294 ± 0.000,0.2941176470588235,0.0,0.104 ± 0.000,0.10416666666666669,0.0,0.116 ± 0.000,0.11578947368421051,1.6996749443881478e-17,0.810 ± 0.000,0.8095238095238096,1.3597399555105182e-16
MiniCPM,3,0.559 ± 0.000,0.5585106382978723,0.0,0.270 ± 0.000,0.27,0.0,0.420 ± 0.000,0.41958041958041953,0.0,0.075 ± 0.000,0.07541666666666666,0.0,0.157 ± 0.000,0.15730337078651685,0.0,0.697 ± 0.000,0.6969696969696969,1.3597399555105182e-16
Gemma 4,3,0.465 ± 0.000,0.4646464646464647,6.798699777552591e-17,0.160 ± 0.000,0.16,0.0,0.117 ± 0.000,0.11666666666666665,1.6996749443881478e-17,0.079 ± 0.000,0.07875,0.0,0.096 ± 0.000,0.09574468085106384,1.6996749443881478e-17,0.933 ± 0.000,0.9326923076923078,1.3597399555105182e-16
